"Start Time","Track","Series","Hosted Session Name"
"2022.04.13 12:10 AM GMT","Hockenheimring Baden-Württemberg - Grand Prix","Hosted iRacing","MDS"



"League Name","League ID","League Season","League Season ID","Points System"
"MDS","7833","Season 2 2022 Torneo Apertura","77919","MDS Endurance"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)","League Agg Points","AI"
"1","128","Dallara P217","2523","Dallara P217","459310","459310","Ariel Pacho","2","17","0","Running","-00.000","20","","1:32.012","1:28.912","18","40","8","80","100","0","83","0"
"2","128","Dallara P217","2523","Dallara P217","652708","652708","Tomas Anton","1","1","0","Running","-06.789","20","","1:32.182","1:29.581","21","40","5","67","100","0","72","0"
"3","128","Dallara P217","2523","Dallara P217","205901","205901","Andres Ruiz","6","13","0","Running","-20.598","0","","1:32.521","1:29.521","7","40","20","57","100","0","58","0"
"4","128","Dallara P217","2523","Dallara P217","254024","254024","Sebastián Gallego","5","11","0","Running","-29.524","0","","1:32.750","1:29.804","7","40","12","50","100","0","51","0"
"5","128","Dallara P217","2523","Dallara P217","76103","76103","Martin Facal","4","76","0","Running","-1:17.081","0","","1:33.939","1:30.092","33","40","17","44","100","0","45","0"
"6","128","Dallara P217","2523","Dallara P217","550976","550976","Fernando Dadamo","3","8","0","Running","-1:19.835","0","","1:34.008","1:29.444","19","40","21","40","100","0","42","0"
"7","132","BMW M4 GT3","2708","GT3 Class","282388","282388","Maxi Cerrella","8","6","0","Running","-3 L","0","","1:40.392","1:38.672","18","37","15","80","100","0","83","0"
"8","132","BMW M4 GT3","2708","GT3 Class","639474","639474","Luis Piloni","7","7","0","Running","-3 L","0","","1:41.001","1:38.763","4","37","12","67","100","0","72","0"
"9","133","Lamborghini Huracán GT3 EVO","2708","GT3 Class","414652","414652","MR Mazza","9","2","0","Running","-3 L","0","","1:41.185","1:38.527","35","37","24","57","100","0","59","0"
"10","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","645187","645187","Mattias Pascual","13","16","0","Running","-3 L","0","","1:41.201","1:39.205","29","37","21","50","100","0","51","0"
"11","133","Lamborghini Huracán GT3 EVO","2708","GT3 Class","275719","275719","Marcelo Hernan","10","532","0","Running","-3 L","0","","1:41.472","1:39.065","15","37","13","44","100","0","45","0"
"12","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","533782","533782","Marcelo SA Ferraro","14","9","0","Running","-3 L","0","","1:42.124","1:40.039","11","37","15","40","100","0","41","0"
"13","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","664734","664734","Cesar Alejandro Zabala Ferrero","11","37","0","Running","-4 L","0","","1:42.430","1:39.437","4","36","15","37","100","0","38","0"
"14","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","267918","267918","Andres Bruno","15","5","0","Running","-4 L","0","","1:42.517","1:40.093","34","36","21","34","100","0","35","0"
"15","73","Audi R8 LMS","2708","GT3 Class","502899","502899","Guillermo Javier Perna","17","74","0","Running","-4 L","0","","1:42.553","1:39.745","30","36","15","32","100","0","32","0"
"16","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","694097","694097","Juan Manuel Vita2","12","12","0","Running","-4 L","0","","1:43.056","1:39.622","6","36","14","30","100","0","31","0"
"17","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","556812","556812","Ezequiel Capridi","16","10","0","Running","-4 L","0","","1:44.280","1:41.083","24","36","21","28","100","0","29","0"
